Time Setpoint Input Output
1 150.00 22.75 2000.00
2 150.00 23.25 2000.00
3 150.00 23.25 2000.00
4 150.00 23.50 2000.00
5 150.00 23.75 2000.00
6 150.00 23.00 2000.00
7 150.00 23.50 2000.00
8 150.00 23.25 2000.00
9 150.00 23.00 2000.00
10 150.00 23.50 2000.00
11 150.00 23.50 2000.00
12 150.00 23.75 2000.00
13 150.00 24.00 2000.00
14 150.00 24.00 2000.00
15 150.00 24.50 2000.00
16 150.00 24.25 2000.00
17 150.00 24.50 2000.00
18 150.00 24.50 2000.00
19 150.00 25.00 2000.00
20 150.00 25.25 2000.00
21 150.00 25.75 2000.00
22 150.00 25.75 2000.00
23 150.00 26.00 2000.00
24 150.00 26.25 2000.00
25 150.00 26.75 2000.00
26 150.00 27.00 2000.00
27 150.00 27.75 2000.00
28 150.00 28.00 2000.00
29 150.00 28.00 2000.00
30 150.00 29.00 2000.00
31 150.00 29.50 2000.00
32 150.00 30.25 2000.00
33 150.00 30.50 2000.00
34 150.00 31.00 2000.00
35 150.00 31.00 2000.00
36 150.00 31.75 2000.00
37 150.00 33.25 2000.00
38 150.00 34.25 2000.00
39 150.00 34.50 2000.00
40 150.00 35.00 2000.00
41 150.00 36.00 2000.00
42 150.00 37.00 2000.00
43 150.00 37.50 2000.00
44 150.00 38.00 2000.00
45 150.00 39.50 2000.00
46 150.00 40.00 2000.00
47 150.00 40.00 2000.00
48 150.00 41.00 2000.00
49 150.00 43.25 2000.00
50 150.00 44.00 2000.00
51 150.00 45.00 2000.00
52 150.00 45.75 2000.00
53 150.00 47.00 2000.00
54 150.00 48.00 2000.00
55 150.00 48.75 2000.00
56 150.00 50.00 2000.00
57 150.00 51.00 2000.00
58 150.00 52.50 2000.00
59 150.00 53.50 2000.00
60 150.00 55.00 2000.00
61 150.00 56.00 2000.00
62 150.00 57.25 2000.00
63 150.00 58.50 2000.00
64 150.00 59.75 2000.00
65 150.00 61.00 2000.00
66 150.00 62.25 2000.00
67 150.00 63.25 2000.00
68 150.00 65.00 2000.00
69 150.00 66.75 2000.00
70 150.00 67.75 2000.00
71 150.00 68.75 2000.00
72 150.00 70.25 2000.00
73 150.00 71.75 2000.00
74 150.00 73.50 2000.00
75 150.00 74.75 2000.00
76 150.00 76.00 2000.00
77 150.00 78.00 2000.00
78 150.00 79.50 2000.00
79 150.00 80.75 2000.00
80 150.00 82.50 2000.00
81 150.00 83.75 2000.00
82 150.00 85.25 2000.00
83 150.00 87.00 2000.00
84 150.00 88.50 2000.00
85 150.00 90.00 2000.00
86 150.00 92.00 2000.00
87 150.00 93.50 2000.00
88 150.00 94.75 2000.00
89 150.00 96.50 2000.00
90 150.00 96.50 2000.00
91 150.00 100.00 2000.00
92 150.00 101.25 2000.00
93 150.00 103.50 2000.00
94 150.00 104.25 2000.00
95 150.00 106.75 2000.00
96 150.00 108.00 2000.00
97 150.00 110.25 2000.00
98 150.00 112.00 2000.00
99 150.00 113.50 2000.00
100 150.00 114.75 2000.00
101 150.00 116.25 2000.00
102 150.00 117.75 2000.00
103 150.00 117.75 2000.00
104 150.00 121.00 2000.00
105 150.00 123.25 2000.00
106 150.00 124.75 2000.00
107 150.00 126.50 2000.00
108 150.00 128.00 2000.00
109 150.00 129.50 2000.00
110 150.00 131.00 2000.00
111 150.00 132.75 2000.00
112 150.00 134.25 1942.16
113 150.00 135.75 1797.55
114 150.00 137.25 1647.91
115 150.00 138.50 1498.23
116 150.00 140.50 1378.51
117 150.00 141.75 1163.75
118 150.00 144.25 1053.96
119 150.00 145.00 779.10
120 150.00 147.25 739.23
121 150.00 147.25 484.29
122 150.00 149.50 529.36
123 150.00 150.50 259.38
124 155.00 152.00 1354.60
125 155.00 153.25 779.75
126 155.00 154.75 467.34
127 155.00 156.00 0.00
128 155.00 157.25 0.00
129 155.00 158.50 0.00
130 155.00 159.00 0.00
