Time Setpoint Input Output
1 150.00 49.75 2000.00
2 150.00 49.75 2000.00
3 150.00 49.75 2000.00
4 150.00 49.25 2000.00
5 150.00 49.50 2000.00
6 150.00 50.00 2000.00
7 150.00 50.25 2000.00
8 150.00 50.50 2000.00
9 150.00 50.75 2000.00
10 150.00 51.50 2000.00
11 150.00 51.75 2000.00
12 150.00 53.00 2000.00
13 150.00 54.00 2000.00
14 150.00 54.25 2000.00
15 150.00 56.00 2000.00
16 150.00 57.25 2000.00
17 150.00 58.75 2000.00
18 150.00 58.75 2000.00
19 150.00 62.00 2000.00
20 150.00 63.50 2000.00
21 150.00 63.50 2000.00
22 150.00 66.75 2000.00
23 150.00 68.75 2000.00
24 150.00 70.75 2000.00
25 150.00 72.75 2000.00
26 150.00 74.50 2000.00
27 150.00 76.50 2000.00
28 150.00 78.50 2000.00
29 150.00 80.50 2000.00
30 150.00 82.50 2000.00
31 150.00 84.75 2000.00
32 150.00 87.00 2000.00
33 150.00 88.50 2000.00
34 150.00 91.00 2000.00
35 150.00 93.25 2000.00
36 150.00 95.00 2000.00
37 150.00 97.50 2000.00
38 150.00 98.50 2000.00
39 150.00 101.75 2000.00
40 150.00 103.50 2000.00
41 150.00 105.00 2000.00
42 150.00 107.50 2000.00
43 150.00 109.00 2000.00
44 150.00 111.00 2000.00
45 150.00 113.00 2000.00
46 150.00 114.75 2000.00
47 150.00 116.50 2000.00
48 150.00 118.25 2000.00
49 150.00 120.25 2000.00
50 150.00 121.75 2000.00
51 150.00 123.75 2000.00
52 150.00 125.25 2000.00
53 150.00 127.00 2000.00
54 150.00 128.75 2000.00
55 150.00 128.75 2000.00
56 150.00 131.50 2000.00
57 150.00 133.00 1911.20
58 150.00 135.50 1766.63
59 150.00 137.25 1496.99
60 150.00 138.75 1337.31
61 150.00 140.00 1192.59
62 150.00 140.75 1072.84
63 150.00 142.00 1008.07
64 150.00 142.75 873.27
65 150.00 143.25 808.45
66 150.00 144.25 763.62
67 150.00 145.00 653.76
68 150.00 145.25 583.89
69 150.00 146.25 569.01
70 150.00 146.25 454.10
71 150.00 147.75 474.19
72 150.00 148.25 294.25
73 150.00 148.75 264.29
74 150.00 148.75 214.33
75 150.00 149.50 224.36
76 150.00 149.00 134.37
77 150.00 148.75 209.39
78 150.00 148.00 229.42
79 150.00 146.75 314.48
80 150.00 147.25 449.56
81 150.00 147.75 364.63
82 150.00 149.25 314.68
83 150.00 151.50 144.70
84 155.00 152.00 587.38
85 155.00 151.75 875.03
86 155.00 147.75 1137.69
87 155.00 145.00 2000.00
88 155.00 142.75 2000.00
89 155.00 148.00 2000.00
90 155.00 154.75 889.51
91 155.00 157.50 0.00
92 155.00 155.50 0.00
93 160.00 159.75 1952.13
94 160.00 161.75 0.00
95 160.00 167.00 0.00
96 160.00 170.00 0.00
97 160.00 171.25 0.00
98 160.00 172.25 0.00
99 160.00 172.75 0.00
100 160.00 172.25 0.00
101 160.00 172.75 0.00
102 165.00 173.50 0.00
103 165.00 174.00 0.00
104 165.00 174.50 0.00
105 165.00 174.25 0.00
106 165.00 173.25 0.00
107 165.00 173.25 0.00
108 165.00 171.50 0.00
109 165.00 171.50 0.00
110 165.00 171.75 0.00
111 170.00 172.25 0.00
112 170.00 169.00 0.00
113 170.00 163.00 1207.45
114 170.00 157.25 2000.00
115 170.00 154.00 2000.00
116 170.00 151.75 2000.00
117 170.00 149.50 2000.00
118 170.00 149.50 2000.00
119 170.00 149.00 2000.00
120 175.00 150.25 2000.00
121 175.00 149.00 2000.00
122 175.00 150.25 2000.00
123 175.00 152.75 2000.00
124 175.00 155.25 2000.00
125 175.00 160.25 2000.00
126 175.00 165.75 2000.00
127 175.00 167.00 1508.07
128 175.00 166.75 2000.00
129 180.00 164.00 2000.00
130 180.00 160.75 2000.00
131 180.00 159.25 2000.00
132 180.00 159.75 2000.00
133 180.00 159.00 2000.00
134 180.00 157.50 2000.00
135 180.00 153.50 2000.00
136 180.00 146.75 2000.00
137 180.00 147.50 2000.00
138 185.00 152.25 2000.00
139 185.00 156.75 2000.00
140 185.00 160.00 2000.00
141 185.00 162.50 2000.00
142 185.00 164.25 2000.00
143 185.00 165.75 2000.00
144 185.00 167.00 2000.00
145 185.00 167.75 2000.00
146 185.00 168.75 2000.00
147 190.00 169.50 2000.00
148 190.00 171.75 2000.00
149 190.00 167.25 2000.00
150 190.00 164.00 2000.00
151 190.00 163.00 2000.00
152 190.00 163.50 2000.00
153 190.00 167.75 2000.00
154 190.00 171.75 2000.00
155 190.00 175.00 2000.00
156 195.00 176.75 2000.00
157 195.00 179.00 2000.00
158 195.00 180.75 2000.00
159 195.00 179.75 2000.00
160 195.00 179.50 2000.00
161 195.00 178.25 2000.00
162 195.00 177.75 2000.00
163 195.00 176.50 2000.00
164 195.00 175.75 2000.00
165 200.00 175.00 2000.00
166 200.00 174.75 2000.00
167 200.00 176.00 2000.00
168 200.00 175.75 2000.00
169 200.00 175.50 2000.00
170 200.00 177.25 2000.00
171 200.00 176.25 2000.00
172 200.00 177.75 2000.00
173 200.00 179.25 2000.00
174 250.00 181.50 2000.00
175 250.00 182.00 2000.00
176 250.00 183.25 2000.00
177 250.00 185.25 2000.00
178 250.00 186.75 2000.00
179 250.00 189.00 2000.00
180 250.00 190.25 2000.00
181 250.00 191.25 2000.00
182 250.00 191.75 2000.00
183 250.00 193.50 2000.00
184 250.00 194.00 2000.00
185 250.00 195.00 2000.00
186 250.00 195.50 2000.00
187 250.00 195.75 2000.00
188 250.00 196.25 2000.00
189 250.00 196.50 2000.00
190 250.00 196.50 2000.00
191 250.00 197.00 2000.00
192 250.00 196.75 2000.00
193 250.00 197.00 2000.00
194 250.00 197.25 2000.00
195 250.00 197.50 2000.00
196 250.00 197.00 2000.00
197 250.00 196.50 2000.00
198 250.00 192.00 2000.00
199 250.00 187.50 2000.00
200 250.00 187.50 2000.00
201 250.00 186.75 2000.00
202 250.00 183.00 2000.00
203 250.00 181.25 2000.00
204 250.00 183.75 2000.00
205 250.00 186.25 2000.00
206 250.00 188.50 2000.00
207 250.00 189.75 2000.00
208 250.00 189.50 2000.00
209 250.00 189.00 2000.00
210 250.00 189.25 2000.00
211 250.00 190.00 2000.00
212 250.00 190.00 2000.00
213 250.00 191.50 2000.00
214 250.00 192.00 2000.00
215 250.00 190.25 2000.00
216 250.00 192.50 2000.00
217 250.00 192.50 2000.00
218 250.00 191.00 2000.00
219 250.00 190.50 2000.00
220 250.00 190.50 2000.00
221 250.00 190.00 2000.00
222 250.00 189.75 2000.00
223 250.00 189.00 2000.00
224 250.00 189.00 2000.00
225 250.00 189.75 2000.00
226 250.00 189.75 2000.00
227 250.00 189.75 2000.00
228 250.00 190.25 2000.00
229 250.00 190.00 2000.00
230 250.00 189.75 2000.00
231 250.00 190.25 2000.00
232 250.00 190.25 2000.00
233 250.00 192.75 2000.00
234 250.00 194.00 2000.00
235 250.00 194.50 2000.00
236 250.00 194.50 2000.00
237 250.00 195.75 2000.00
238 250.00 196.50 2000.00
239 250.00 195.00 2000.00
240 250.00 194.50 2000.00
241 250.00 193.50 2000.00
242 250.00 192.25 2000.00
243 250.00 191.75 2000.00
244 250.00 191.00 2000.00
245 250.00 190.75 2000.00
246 250.00 190.25 2000.00
247 250.00 189.25 2000.00
248 250.00 188.75 2000.00
249 250.00 189.00 2000.00
250 250.00 189.25 2000.00
251 250.00 189.25 2000.00
252 250.00 189.75 2000.00
253 250.00 190.25 2000.00
254 250.00 190.00 2000.00
255 250.00 189.75 2000.00
256 250.00 190.25 2000.00
257 250.00 190.00 2000.00
258 250.00 190.00 2000.00
259 250.00 191.00 2000.00
260 250.00 191.25 2000.00
261 250.00 191.50 2000.00
262 250.00 192.25 2000.00
263 250.00 192.25 2000.00
264 250.00 192.75 2000.00
265 250.00 192.75 2000.00
266 250.00 193.25 2000.00
267 250.00 193.75 2000.00
268 250.00 193.75 2000.00
269 250.00 194.25 2000.00
270 250.00 194.00 2000.00
271 250.00 194.25 2000.00
272 250.00 193.25 2000.00
273 250.00 194.00 2000.00
274 250.00 194.50 2000.00
275 250.00 194.50 2000.00
276 250.00 194.00 2000.00
277 250.00 194.50 2000.00
278 250.00 194.75 2000.00
279 250.00 195.25 2000.00
280 250.00 195.50 2000.00
281 250.00 195.75 2000.00
282 250.00 195.00 2000.00
283 250.00 195.75 2000.00
284 250.00 195.25 2000.00
285 250.00 195.25 2000.00
286 250.00 195.00 2000.00
287 250.00 195.25 2000.00
288 250.00 195.25 2000.00
289 250.00 195.00 2000.00
290 250.00 195.50 2000.00
291 250.00 195.50 2000.00
292 250.00 195.25 2000.00
293 250.00 196.00 2000.00
294 250.00 195.75 2000.00
295 250.00 195.75 2000.00
296 250.00 195.75 2000.00
297 250.00 196.00 2000.00
298 250.00 195.75 2000.00
299 250.00 195.75 2000.00
300 250.00 195.75 2000.00
301 250.00 195.00 2000.00
302 250.00 195.00 2000.00
303 250.00 194.25 2000.00
304 250.00 195.00 2000.00
305 250.00 194.75 2000.00
306 250.00 194.75 2000.00
307 250.00 196.25 2000.00
308 250.00 198.25 2000.00
309 250.00 199.00 2000.00
310 250.00 200.25 2000.00
311 250.00 200.25 2000.00
312 250.00 200.00 2000.00
313 250.00 201.00 2000.00
314 250.00 201.00 2000.00
315 250.00 201.25 2000.00
