Time Setpoint Input Output
1 150.00 48.75 2000.00
2 150.00 48.75 2000.00
3 150.00 48.75 2000.00
4 150.00 49.50 2000.00
5 150.00 49.25 2000.00
6 150.00 50.25 2000.00
7 150.00 50.75 2000.00
8 150.00 52.25 2000.00
9 150.00 54.25 2000.00
10 150.00 56.25 2000.00
11 150.00 58.50 2000.00
12 150.00 60.75 2000.00
13 150.00 63.00 2000.00
14 150.00 65.75 2000.00
15 150.00 68.25 2000.00
16 150.00 71.25 2000.00
17 150.00 74.00 2000.00
18 150.00 77.00 2000.00
19 150.00 77.00 2000.00
20 150.00 83.75 2000.00
21 150.00 86.00 2000.00
22 150.00 86.00 2000.00
23 150.00 92.00 2000.00
24 150.00 92.00 2000.00
25 150.00 97.75 2000.00
26 150.00 100.00 2000.00
27 150.00 101.75 2000.00
28 150.00 103.75 2000.00
29 150.00 105.25 2000.00
30 150.00 107.25 2000.00
31 150.00 108.50 2000.00
32 150.00 111.00 2000.00
33 150.00 113.00 2000.00
34 150.00 113.00 2000.00
35 150.00 114.00 2000.00
36 150.00 114.00 2000.00
37 150.00 116.50 2000.00
38 150.00 116.75 2000.00
39 150.00 118.00 2000.00
40 150.00 119.00 2000.00
41 150.00 120.25 2000.00
42 150.00 121.25 2000.00
43 150.00 122.75 2000.00
44 150.00 123.50 2000.00
45 150.00 125.75 2000.00
46 150.00 127.50 2000.00
47 150.00 128.75 2000.00
48 150.00 129.50 2000.00
49 150.00 131.25 2000.00
50 150.00 132.25 1914.64
51 150.00 133.50 1830.08
52 150.00 133.50 1700.49
53 150.00 131.25 1725.91
54 150.00 132.00 1996.38
55 150.00 128.00 1861.82
56 150.00 127.25 2000.00
57 150.00 128.50 2000.00
58 150.00 129.00 2000.00
59 150.00 131.75 2000.00
60 150.00 134.00 1849.46
61 150.00 138.25 1634.86
62 150.00 140.50 1170.16
63 150.00 141.75 985.39
64 150.00 142.50 880.60
65 150.00 144.75 815.79
66 150.00 146.75 560.92
67 150.00 148.25 366.00
68 150.00 149.75 226.04
69 150.00 151.25 76.05
70 155.00 152.00 831.24
71 155.00 153.50 793.89
72 155.00 155.00 156.46
73 155.00 156.75 0.00
74 155.00 157.75 0.00
75 155.00 158.25 0.00
76 155.00 159.25 0.00
77 155.00 159.50 0.00
78 155.00 159.75 0.00
79 160.00 160.50 93.15
80 160.00 160.25 0.00
81 160.00 160.75 68.11
82 160.00 160.50 0.00
83 160.00 161.00 0.00
84 160.00 160.75 0.00
85 160.00 160.75 0.00
86 160.00 160.75 0.00
87 160.00 161.00 0.00
88 165.00 161.50 1218.09
89 165.00 160.50 1005.76
90 165.00 159.00 1680.99
91 165.00 158.50 2000.00
92 165.00 158.50 2000.00
93 165.00 160.25 2000.00
94 165.00 162.25 1069.68
95 165.00 161.50 407.31
96 165.00 162.00 1319.99
97 170.00 162.50 2000.00
98 170.00 162.75 2000.00
99 170.00 163.75 2000.00
100 170.00 164.00 1708.94
101 170.00 165.50 1821.74
102 170.00 166.25 1059.46
103 170.00 167.25 1022.15
104 170.00 169.75 659.79
105 170.00 171.25 0.00
106 175.00 172.50 834.99
107 175.00 173.00 522.61
108 175.00 173.25 560.21
109 175.00 173.25 547.80
110 175.00 175.00 0.00
111 175.00 175.25 0.00
112 175.00 175.50 0.00
113 175.00 175.75 0.00
114 175.00 176.50 0.00
115 180.00 176.25 947.93
116 180.00 176.75 1273.11
117 180.00 177.50 935.78
118 180.00 178.00 648.40
119 180.00 177.75 561.00
120 180.00 178.25 823.61
121 180.00 178.75 486.20
122 180.00 178.50 336.26
123 180.00 178.50 598.84
124 185.00 178.50 2000.00
125 185.00 179.00 2000.00
126 185.00 180.50 1762.29
127 185.00 180.50 1062.51
128 185.00 180.50 1437.74
129 185.00 181.00 1437.96
130 185.00 181.50 1163.16
131 185.00 181.75 1013.34
132 185.00 181.50 1001.00
133 190.00 182.25 2000.00
134 190.00 182.50 2000.00
135 190.00 182.50 2000.00
136 190.00 182.50 2000.00
137 190.00 182.25 2000.00
138 190.00 183.00 2000.00
139 190.00 183.75 2000.00
140 190.00 184.50 1778.99
141 190.00 185.00 1554.26
142 195.00 185.00 2000.00
143 195.00 185.50 2000.00
144 195.00 186.25 2000.00
145 195.00 185.50 2000.00
146 195.00 186.25 2000.00
147 195.00 186.00 2000.00
148 195.00 186.75 2000.00
149 195.00 186.75 2000.00
150 195.00 186.75 2000.00
151 200.00 187.25 2000.00
152 200.00 186.75 2000.00
153 200.00 186.75 2000.00
154 200.00 187.50 2000.00
155 200.00 188.50 2000.00
156 200.00 188.25 2000.00
157 200.00 188.25 2000.00
158 200.00 188.75 2000.00
159 200.00 187.50 2000.00
160 250.00 185.25 2000.00
161 250.00 184.00 2000.00
162 250.00 185.00 2000.00
163 250.00 187.50 2000.00
164 250.00 188.00 2000.00
165 250.00 189.00 2000.00
166 250.00 190.00 2000.00
167 250.00 189.25 2000.00
168 250.00 189.75 2000.00
169 250.00 190.50 2000.00
170 250.00 191.75 2000.00
171 250.00 192.75 2000.00
172 250.00 193.25 2000.00
173 250.00 193.00 2000.00
174 250.00 193.50 2000.00
175 250.00 192.75 2000.00
176 250.00 192.50 2000.00
177 250.00 192.50 2000.00
178 250.00 193.50 2000.00
179 250.00 193.75 2000.00
180 250.00 194.25 2000.00
181 250.00 194.25 2000.00
182 250.00 194.25 2000.00
183 250.00 194.75 2000.00
184 250.00 195.25 2000.00
185 250.00 195.00 2000.00
186 250.00 195.50 2000.00
187 250.00 195.25 2000.00
188 250.00 195.75 2000.00
189 250.00 195.50 2000.00
190 250.00 195.75 2000.00
191 250.00 195.50 2000.00
192 250.00 196.00 2000.00
193 250.00 197.00 2000.00
194 250.00 197.50 2000.00
195 250.00 197.25 2000.00
196 250.00 197.75 2000.00
197 250.00 197.50 2000.00
198 250.00 198.00 2000.00
199 250.00 198.25 2000.00
200 250.00 198.50 2000.00
201 250.00 198.50 2000.00
202 250.00 198.00 2000.00
203 250.00 198.75 2000.00
204 250.00 198.75 2000.00
205 250.00 199.25 2000.00
206 250.00 198.50 2000.00
207 250.00 196.50 2000.00
208 250.00 192.75 2000.00
209 250.00 189.25 2000.00
210 250.00 188.50 2000.00
211 250.00 193.00 2000.00
212 250.00 197.75 2000.00
213 250.00 198.25 2000.00
214 250.00 196.75 2000.00
215 250.00 204.25 2000.00
216 250.00 208.00 2000.00
217 250.00 209.25 2000.00
218 250.00 210.50 2000.00
219 250.00 211.25 2000.00
220 250.00 211.25 2000.00
221 250.00 212.00 2000.00
222 250.00 212.50 2000.00
223 250.00 213.00 2000.00
224 250.00 212.75 2000.00
225 250.00 213.00 2000.00
226 250.00 213.25 2000.00
227 250.00 212.50 2000.00
228 250.00 213.25 2000.00
229 250.00 213.00 2000.00
230 250.00 213.00 2000.00
231 250.00 213.00 2000.00
232 250.00 212.75 2000.00
233 250.00 212.50 2000.00
234 250.00 212.25 2000.00
235 250.00 211.75 2000.00
236 250.00 211.75 2000.00
237 250.00 212.25 2000.00
238 250.00 211.50 2000.00
239 250.00 211.00 2000.00
240 250.00 212.00 2000.00
241 250.00 211.25 2000.00
242 250.00 211.50 2000.00
243 250.00 207.75 2000.00
244 250.00 204.50 2000.00
245 250.00 202.50 2000.00
246 250.00 201.25 2000.00
247 250.00 205.25 2000.00
248 250.00 204.25 2000.00
249 250.00 204.75 2000.00
250 250.00 200.50 2000.00
251 250.00 203.00 2000.00
252 250.00 199.50 2000.00
253 250.00 198.50 2000.00
254 250.00 195.00 2000.00
255 250.00 191.75 2000.00
256 250.00 191.50 2000.00
257 250.00 192.00 2000.00
258 250.00 182.25 2000.00
259 250.00 172.75 2000.00
260 250.00 163.75 2000.00
261 250.00 166.00 2000.00
262 250.00 180.75 2000.00
263 250.00 189.00 2000.00
264 250.00 195.50 2000.00
265 250.00 202.25 2000.00
266 250.00 207.00 2000.00
267 250.00 209.50 2000.00
268 250.00 210.50 2000.00
269 250.00 211.25 2000.00
270 250.00 212.75 2000.00
271 250.00 211.25 2000.00
272 250.00 211.50 2000.00
273 250.00 211.50 2000.00
274 250.00 214.25 2000.00
275 250.00 213.25 2000.00
276 250.00 213.25 2000.00
277 250.00 214.75 2000.00
278 250.00 210.00 2000.00
279 250.00 207.00 2000.00
280 250.00 198.00 2000.00
281 250.00 193.50 2000.00
282 250.00 193.25 2000.00
283 250.00 194.00 2000.00
284 250.00 195.50 2000.00
285 250.00 200.75 2000.00
286 250.00 205.25 2000.00
287 250.00 207.75 2000.00
288 250.00 208.75 2000.00
289 250.00 209.25 2000.00
290 250.00 209.50 2000.00
291 250.00 209.25 2000.00
292 250.00 209.25 2000.00
293 250.00 209.50 2000.00
294 250.00 209.75 2000.00
295 250.00 210.00 2000.00
296 250.00 209.75 2000.00
297 250.00 208.75 2000.00
298 250.00 208.00 2000.00
299 250.00 206.50 2000.00
300 250.00 206.00 2000.00
301 250.00 206.25 2000.00
302 250.00 205.75 2000.00
303 250.00 206.00 2000.00
304 250.00 205.75 2000.00
305 250.00 207.00 2000.00
306 250.00 207.50 2000.00
307 250.00 207.25 2000.00
308 250.00 208.25 2000.00
309 250.00 208.25 2000.00
310 250.00 208.75 2000.00
311 250.00 208.25 2000.00
312 250.00 208.50 2000.00
313 250.00 208.00 2000.00
314 250.00 208.00 2000.00
315 250.00 206.75 2000.00
316 250.00 207.25 2000.00
317 250.00 207.25 2000.00
318 250.00 207.75 2000.00
319 250.00 207.25 2000.00
320 250.00 207.25 2000.00
321 250.00 208.00 2000.00
322 250.00 208.25 2000.00
323 250.00 207.25 2000.00
324 250.00 207.75 2000.00
325 250.00 207.75 2000.00
326 250.00 207.00 2000.00
327 250.00 206.25 2000.00
328 250.00 206.75 2000.00
329 250.00 206.25 2000.00
330 250.00 206.25 2000.00
331 250.00 205.75 2000.00
332 250.00 205.00 2000.00
333 250.00 204.75 2000.00
334 250.00 204.00 2000.00
335 250.00 204.75 2000.00
336 250.00 205.00 2000.00
337 250.00 204.50 2000.00
338 250.00 204.75 2000.00
339 250.00 204.00 2000.00
340 250.00 204.25 2000.00
341 250.00 203.50 2000.00
342 250.00 203.50 2000.00
343 250.00 203.50 2000.00
344 250.00 204.00 2000.00
345 250.00 204.00 2000.00
346 250.00 203.50 2000.00
347 250.00 203.00 2000.00
348 250.00 202.50 2000.00
349 250.00 202.25 2000.00
350 250.00 201.50 2000.00
351 250.00 200.25 2000.00
352 250.00 200.25 2000.00
353 250.00 200.50 2000.00
354 250.00 201.50 2000.00
355 250.00 201.00 2000.00
356 250.00 200.75 2000.00
357 250.00 201.25 2000.00
358 250.00 201.00 2000.00
359 250.00 199.75 2000.00
360 250.00 200.25 2000.00
361 250.00 202.00 2000.00
362 250.00 202.75 2000.00
363 250.00 202.75 2000.00
364 250.00 204.50 2000.00
365 250.00 204.75 2000.00
366 250.00 205.50 2000.00
367 250.00 205.50 2000.00
368 250.00 205.00 2000.00
369 250.00 205.25 2000.00
370 250.00 205.75 2000.00
371 250.00 205.00 2000.00
372 250.00 205.00 2000.00
373 250.00 204.25 2000.00
374 250.00 204.50 2000.00
375 250.00 205.00 2000.00
376 250.00 204.25 2000.00
377 250.00 204.25 2000.00
378 250.00 204.50 2000.00
379 250.00 204.50 2000.00
380 250.00 205.75 2000.00
381 250.00 206.00 2000.00
382 250.00 206.00 2000.00
383 250.00 206.25 2000.00
384 250.00 206.50 2000.00
385 250.00 206.50 2000.00
386 250.00 206.75 2000.00
387 250.00 207.00 2000.00
388 250.00 207.25 2000.00
389 250.00 207.75 2000.00
390 250.00 207.25 2000.00
391 250.00 207.50 2000.00
392 250.00 207.50 2000.00
393 250.00 207.25 2000.00
394 250.00 208.00 2000.00
395 250.00 208.00 2000.00
396 250.00 208.25 2000.00
397 250.00 208.50 2000.00
398 250.00 208.75 2000.00
399 250.00 208.50 2000.00
400 250.00 208.25 2000.00
401 250.00 206.75 2000.00
402 250.00 207.00 2000.00
403 250.00 206.50 2000.00
404 250.00 206.75 2000.00
405 250.00 206.50 2000.00
